COLLEGE,MAJOR CIP,HEAD COUNT
George Brown College,"Hospitality Administration/Management, General",490
George Brown College,Hospitality and Recreation Marketing Operations,165
George Brown College,Hotel/Motel Administration/Management,507
George Brown College,"Human Development, Family Studies and Related Services, Other",47
George Brown College,Human Resources Development,73
George Brown College,"Human Resources Management/Personnel Administration, General",517
George Brown College,Information Technology,21
George Brown College,International Business/Trade/Commerce,41
George Brown College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",552
George Brown College,"Marketing/Marketing Management, General",771
George Brown College,Mechanical Engineering/Mechanical Technology/Technician,173
George Brown College,Medical Informatics,19
George Brown College,Medical Office Management/Administration,214
George Brown College,Metal and Jewellery Arts,149
George Brown College,Not Codeable,"2,063"
George Brown College,"Nursing/Registered Nurse (RN, ASN, BScN, MScN)",408
George Brown College,Orthotist/Prosthetist,62
George Brown College,Perioperative/Operating Room and Surgical Nurse/Nursing,26
George Brown College,"Restaurant, Culinary and Catering Management/Manager",833
George Brown College,Restaurant/Food Services Management,121
George Brown College,Sign Language Interpretation and Translation,61
George Brown College,"Social Work, General",362
George Brown College,"Teacher Education and Professional Development, Specific Levels and Methods, Other",19
George Brown College,Tool and Die Technology/Technician,49
George Brown College,"Visual and Performing Arts, General",37
George Brown College,Youth Services/Administration,358
George Brown College,Total,"17,253"
Georgian College,Accounting and Business/Management,250
Georgian College,Accounting Technology/Technician and Bookkeeping,10
Georgian College,Addiction Prevention and Treatment,43
Georgian College,Advertising,102
Georgian College,Aesthetician/Esthetician and Skin Care Specialist,70
Georgian College,"Allied Health and Medical Assisting Services, Other",43
Georgian College,Architectural Technology/Technician,140
Georgian College,"Art/Art Studies, General",61
Georgian College,Automotive Engineering Technology/Technician,118
Georgian College,Aviation/Airway Management and Operations,145
Georgian College,"Business Administration and Management, General",375
Georgian College,"Business/Commerce, General",202
Georgian College,Cabinetmaking and Millwork,33
Georgian College,Carpentry/Carpenter,66
Georgian College,Child Care Provider/Assistant,249
Georgian College,Civil Engineering Technology/Technician,119
Georgian College,"Communication Disorders Sciences and Services, Other",50
Georgian College,Computer and Information Systems Security,17
Georgian College,"Computer Programming/Programmer, General",63
Georgian College,Computer Systems Analysis/Analyst,105
Georgian College,Criminal Justice/Police Science,581
Georgian College,Culinary Arts/Chef Training,42
Georgian College,Dental Assisting/Assistant,70
Georgian College,Dental Hygiene/Hygienist,72
Georgian College,"Electrical, Electronic and Communications Engineering Technology/Technician",172
Georgian College,Emergency Medical Technology/Technician (EMT Paramedic),99
Georgian College,Entrepreneurship/Entrepreneurial Studies,42
Georgian College,Environmental Engineering Technology/Environmental Technology,176
Georgian College,Executive Assistant/Executive Secretary,62
Georgian College,Family and Community Services,135
Georgian College,"Fine/Studio Arts, General",67
Georgian College,Fire Science/Firefighting,56
Georgian College,General Office Occupations and Clerical Services,45
Georgian College,General Studies,139
Georgian College,Graphic Design,119
Georgian College,Health Aide,190
Georgian College,"Health and Physical Education, General",74
Georgian College,"Health/Medical Preparatory Programs, Other",569
Georgian College,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR)",132
Georgian College,Home Furnishings and Equipment Installers,47
Georgian College,"Human Resources Management/Personnel Administration, General",144
Georgian College,Instructional program not reported,34
Georgian College,Interior Design,148
Georgian College,International Business/Trade/Commerce,20
Georgian College,"Legal Professions and Studies, Other",111
Georgian College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",387
Georgian College,Machine Tool Technology/Machinist,56
Georgian College,Marine Maintenance/Fitter and Ship Repair Technology/Technician,26
Georgian College,"Marketing/Marketing Management, General",164
Georgian College,Massage Therapy/Therapeutic Massage,178
