UNIVERSITY,COUNTRY OF CITIZENSHIP,HEAD COUNT
Waterloo,TRINIDAD AND TOBAGO,97
Waterloo,TURKEY,37
Waterloo,UKRAINE,15
Waterloo,UNITED ARAB EMIRATES,21
Waterloo,UNITED KINGDOM,103
Waterloo,UNITED STATES,138
Waterloo,VENEZUELA,14
Waterloo,VIET NAM,34
Waterloo,Total,"32,187"
Western,ARGENTINA,10
Western,AUSTRALIA,14
Western,BANGLADESH,67
Western,BARBADOS,15
Western,BERMUDA,14
Western,BRAZIL,14
Western,CANADA,"28,992"
Western,CHINA,"1,671"
Western,COLOMBIA,74
Western,EGYPT,84
Western,ENGLAND,16
Western,GERMANY,20
Western,GHANA,25
Western,HONG KONG,48
Western,INDIA,236
Western,IRAN,264
Western,IRAQ,24
Western,ISRAEL,15
Western,ITALY,15
Western,JAMAICA,29
Western,JAPAN,17
Western,JORDAN,38
Western,KENYA,17
Western,KOREA SOUTH,269
Western,LEBANON,14
Western,LIBYA,11
Western,MEXICO,40
Western,NETHERLANDS,17
Western,NIGERIA,49
Western,NOT REPORTED,292
Western,PAKISTAN,132
Western,PALESTINIAN TERRITORY OCCUPIED,16
Western,PHILIPPINES,17
Western,ROMANIA,14
Western,RUSSIA (OLD U.S.S.R.),20
Western,SAUDI ARABIA,151
Western,SINGAPORE,14
Western,SOUTH AFRICA,14
Western,SRI LANKA,31
Western,SUDAN,10
Western,Syria,19
Western,TAIWAN,15
Western,TRINIDAD AND TOBAGO,51
Western,TURKEY,18
Western,UKRAINE,19
Western,UNITED KINGDOM,53
Western,UNITED STATES,169
Western,VENEZUELA,17
Western,VIET NAM,17
Western,Total,"33,486"
Wilfrid Laurier,BANGLADESH,12
Wilfrid Laurier,CANADA,"15,185"
Wilfrid Laurier,CHINA,340
Wilfrid Laurier,COLOMBIA,12
Wilfrid Laurier,FRANCE,30
Wilfrid Laurier,GERMANY,14
Wilfrid Laurier,HONG KONG,11
Wilfrid Laurier,INDIA,70
Wilfrid Laurier,IRAN,18
Wilfrid Laurier,JAMAICA,12
Wilfrid Laurier,KOREA SOUTH,47
Wilfrid Laurier,MEXICO,13
Wilfrid Laurier,NIGERIA,31
Wilfrid Laurier,PAKISTAN,64
Wilfrid Laurier,PHILIPPINES,11
Wilfrid Laurier,SAUDI ARABIA,15
Wilfrid Laurier,TURKEY,11
Wilfrid Laurier,UNITED KINGDOM,20
Wilfrid Laurier,UNITED STATES,36
Wilfrid Laurier,VIET NAM,15
Wilfrid Laurier,Total,"16,203"
Windsor,BANGLADESH,82
Windsor,BRAZIL,10
Windsor,CANADA,"11,326"
Windsor,CHINA,677
Windsor,COLOMBIA,16
Windsor,EGYPT,31
Windsor,FRANCE,14
Windsor,GERMANY,15
Windsor,GHANA,23
Windsor,HONG KONG,22
Windsor,INDIA,416
Windsor,IRAN,92
Windsor,IRAQ,35
Windsor,ITALY,11
Windsor,JAMAICA,14
Windsor,JORDAN,31
Windsor,KOREA SOUTH,16
Windsor,LEBANON,33
Windsor,MEXICO,12
Windsor,NIGERIA,201
Windsor,PAKISTAN,118
Windsor,PALESTINIAN TERRITORY OCCUPIED,12
Windsor,PHILIPPINES,17
Windsor,ROMANIA,11
Windsor,SAUDI ARABIA,56
Windsor,SRI LANKA,13
Windsor,SUDAN,17
Windsor,Syria,13
Windsor,UNITED KINGDOM,26
Windsor,UNITED STATES,80
Windsor,Total,"13,710"
York,AFGHANISTAN,83
York,ALBANIA,45
York,ARGENTINA,15
York,AUSTRALIA,21
York,BAHAMAS,10
York,BANGLADESH,196
York,BARBADOS,13
York,BELARUS,24
York,BELGIUM,10
York,BRAZIL,39
York,BULGARIA,16
York,BURUNDI,15
York,CAMEROON,22
York,CANADA,"36,433"
York,CHILE,13
York,CHINA,"2,044"
York,COLOMBIA,83
York,"CONGO, DEMOCRATIC REPUBLIC OF THE",26
York,CÔTE D'IVOIRE,11
York,CROATIA,10
York,DENMARK,15
York,ECUADOR,14
York,EGYPT,96
York,EL SALVADOR,13
York,ENGLAND,25
York,ERITREA,10
York,ETHIOPIA,30
York,FRANCE,94
York,GEORGIA,10
York,GERMANY,62
York,GHANA,77
York,GRENADA,18
York,GUYANA,57
York,HAITI,28
York,HONG KONG,112
York,INDIA,736
York,INDONESIA,36
York,IRAN,523
York,IRAQ,63
York,ISRAEL,117
York,ITALY,29
York,JAMAICA,156
York,JAPAN,47
York,JORDAN,36
York,KAZAKHSTAN,24
York,KENYA,56
York,KOREA SOUTH,454
York,LEBANON,32
York,MALAYSIA,35
York,MAURITIUS,68
York,MEXICO,48
York,"MOLDOVA, REPUBLIC OF",12
York,NEPAL,19
York,NETHERLANDS,15
York,NIGERIA,350
York,NORWAY,12
York,PAKISTAN,545
York,PALESTINIAN TERRITORY OCCUPIED,12
York,PERU,23
York,PHILIPPINES,156
York,POLAND,24
York,PORTUGAL,14
York,ROMANIA,34
York,RUSSIAN FEDERATION,144
York,RWANDA,15
York,SAUDI ARABIA,71
York,SENEGAL,10
York,SERBIA,12
York,SINGAPORE,22
York,SOMALIA,21
York,SOUTH AFRICA,12
York,SPAIN,16
York,SRI LANKA,124
York,ST LUCIA,23
York,ST VINCENT AND THE GRENADINES,16
York,SUDAN,12
York,SWEDEN,10
York,SWITZERLAND,12
York,Syria,21
York,TAIWAN,53
York,TANZANIA UNITED REPUBLIC OF,29
York,THAILAND,11
York,TRINIDAD AND TOBAGO,58
York,TURKEY,72
York,UGANDA,15
York,UKRAINE,92
York,UNITED ARAB EMIRATES,14
York,UNITED KINGDOM,87
York,UNITED STATES,234
York,VENEZUELA,39
York,VIET NAM,131
York,ZIMBABWE,39
York,Total,"45,164"
Dominician,CANADA,84
Dominician,Total,107
Total,,"419,963"
